DEBUT_RANK,SPOTIFY_POPULARITY,HAS_PLAYLIST,GENRE_Hip-Hop/Rap,GENRE_Country,LOUDNESS,DURATION,HIT
93,40,0,False,True,-5.725,248040.0,0
87,13,0,False,False,-8.333,115800.0,0
94,70,0,False,False,-6.24,187026.0,0
89,42,0,False,False,-8.21,215093.0,0
90,9,0,False,False,-10.993,129600.0,0
81,42,0,False,False,-8.21,215093.0,0
69,69,0,False,False,-6.955,220173.0,0
92,42,0,False,False,-8.21,215093.0,0
78,54,1,False,False,-9.452,280973.0,0
37,81,1,False,False,-7.643,288624.0,0
74,36,0,False,True,-13.693,283866.0,0
84,46,0,False,False,-13.381,334340.125,0
81,27,0,False,False,-8.741,152240.0,0
77,29,0,False,False,-10.18,182666.0,0
100,14,0,False,False,-3.494,115480.0,0
79,42,0,False,False,-16.501875,197706.0,0
94,19,0,False,False,-10.996,174933.0,0
96,6,0,False,False,-12.215,153533.0,0
87,32,0,False,False,-10.151,168200.0,0
98,33,0,False,False,-5.551,158000.0,1
90,38,0,False,False,-6.047,334340.125,0
73,22,0,False,False,-16.501875,139093.0,0
90,39,0,False,False,-11.698,150266.0,1
98,42,0,False,False,-8.21,215093.0,0
91,22,0,False,False,-10.049,201626.0,0
71,21,0,False,False,-9.12,155773.0,0
84,14,0,False,False,-9.791,249613.0,0
94,42,0,False,False,-8.21,215093.0,0
88,7,0,False,False,-14.084,171640.0,0
84,19,0,False,True,-8.382,213506.0,0
78,18,0,False,False,-10.906,172573.0,0
88,42,0,False,False,-8.21,215093.0,0
92,31,0,False,True,-7.944,218133.0,0
84,45,0,False,False,-9.607,334340.125,0
97,26,0,False,False,-7.771,169400.0,0
89,48,0,False,True,-16.482,193786.0,0
87,42,0,False,False,-8.21,215093.0,0
71,53,0,False,False,-8.371,248746.0,1
53,42,0,False,False,-8.21,215093.0,0
60,73,1,True,False,-8.559,221840.0,1
100,34,0,False,False,-13.979,175226.0,0
81,9,0,False,False,-11.763,149880.0,0
90,71,0,False,False,-6.282,273640.0,0
88,42,0,False,False,-10.147,215200.0,0
96,2,0,False,False,-16.501875,161693.0,0
84,8,0,False,False,-13.1,164093.0,0
95,42,0,False,False,-8.21,215093.0,1
83,42,0,False,False,-8.21,215093.0,0
88,42,0,False,False,-8.21,215093.0,0
100,11,0,False,False,-10.69,138005.0,0
60,60,0,False,False,-3.918,228280.0,1
99,13,0,False,False,-9.071,194093.0,0
69,7,0,False,False,-8.543,168226.0,0
48,21,0,False,False,-5.799,115240.0,1
86,30,0,False,False,-7.917,221960.0,0
70,70,0,False,False,-8.698,166812.0,1
95,42,0,False,False,-8.21,215093.0,0
73,58,0,False,False,-5.103,259773.0,0
96,34,0,False,True,-5.087,210693.0,0
82,47,0,False,False,-6.314,299360.0,0
74,42,0,False,False,-8.21,215093.0,0
98,1,0,False,False,-7.529,171223.0,0
100,2,0,False,False,-10.099,208706.0,0
100,14,0,False,False,-10.428,208213.0,0
78,41,0,False,False,-7.941,270066.0,0
88,12,0,False,False,-10.589,141010.0,0
99,42,0,False,False,-8.21,215093.0,0
88,32,0,False,False,-13.023,284200.0,0
83,51,0,False,False,-11.303,172960.0,1
93,9,0,False,False,-14.698,149400.0,0
82,36,0,False,False,-8.135,267280.0,0
39,43,0,False,False,-3.878,201466.0,0
66,42,0,False,False,-8.21,215093.0,0
95,27,0,False,False,-12.22,144306.0,0
58,17,0,False,False,-9.422,226213.0,0
99,39,0,False,True,-2.834,238733.0,0
90,41,0,False,False,-8.491,304533.0,0
92,29,0,False,False,-12.438,298746.0,0
61,47,0,False,False,-10.837,148226.0,1
97,32,0,False,False,-4.469,327160.0,0
43,47,0,False,False,-7.551,266666.0,0
85,30,0,False,False,-11.256,334340.125,0
83,21,0,False,False,-13.844,163493.0,0
94,42,0,False,False,-8.21,215093.0,0
97,42,0,False,False,-8.21,215093.0,0
91,44,0,False,False,-8.78,202306.0,0
70,27,0,False,False,-9.162,177066.0,0
97,27,0,False,False,-5.816,176973.0,0
90,27,0,False,False,-10.172,176440.0,0
24,78,1,False,False,-7.125,268467.0,1
87,42,0,False,False,-8.21,215093.0,0
27,31,1,False,False,-8.948,301587.0,1
89,31,0,False,False,-14.969,188066.0,0
99,12,0,False,False,-9.866,241560.0,0
49,42,0,False,False,-8.21,215093.0,0
99,42,0,False,False,-8.21,215093.0,0
98,42,0,False,False,-8.21,215093.0,0
88,42,0,False,False,-10.899,135133.0,0
99,42,0,False,False,-8.21,215093.0,0
96,3,0,False,False,-5.203,110266.0,0
90,42,0,False,False,-8.21,215093.0,0
97,47,0,False,False,-12.68,160413.0,1
95,6,0,False,False,-11.96,137666.0,0
100,42,0,False,False,-8.21,215093.0,0
75,10,0,False,False,-14.026,157400.0,0
70,42,0,False,False,-8.21,215093.0,0
95,13,0,False,False,-9.79,155146.0,0
95,42,0,False,False,-8.21,215093.0,0
88,42,0,False,False,-8.21,215093.0,0
100,16,0,False,False,-9.567,174666.0,0
84,6,0,False,False,-8.232,129960.0,0
74,42,0,False,False,-8.21,215093.0,0
100,4,0,False,False,-12.085,127800.0,0
69,62,0,False,False,-9.123,158253.0,1
98,2,0,False,False,-11.903,160960.0,0
97,0,1,False,False,-7.807,300000.0,0
92,15,0,False,False,-16.501875,158173.0,0
29,80,0,True,False,-3.498,221173.0,0
80,76,1,False,False,-3.862,237493.0,1
96,42,0,False,False,-10.441,215093.0,0
100,11,0,False,False,-10.669,152226.0,0
67,42,0,False,False,-8.21,215093.0,1
74,79,1,False,False,-7.445,285120.0,0
67,65,0,False,False,-8.131,305893.0,0
94,25,0,False,False,-6.249,169836.0,0
81,42,0,False,False,-8.21,215093.0,0
93,42,0,False,False,-8.21,215093.0,0
100,22,0,False,False,-7.989,172626.0,0
93,19,0,False,False,-4.956,248573.0,0
63,25,0,False,True,-10.487,166173.0,0
43,55,0,False,False,-5.405,217693.0,1
100,42,0,False,False,-8.21,215093.0,0
90,33,0,False,False,-11.896,169680.0,0
90,42,0,False,False,-8.21,215093.0,0
84,56,0,False,False,-5.105,161586.0,0
80,68,0,False,False,-6.905,248946.0,1
100,42,0,False,False,-8.21,215093.0,0
54,64,0,False,False,-10.487,243493.0,1
90,31,0,False,False,-6.214,156600.0,0
100,5,0,False,False,-13.092,164866.0,0
82,45,0,False,False,-6.903,259773.0,0
96,62,0,False,True,-7.422,209786.0,0
86,46,0,False,False,-14.937,249053.0,1
83,23,0,False,False,-10.56,210213.0,0
89,32,0,False,True,-10.268,253640.0,0
85,14,0,False,False,-10.46,174639.0,0
94,18,0,False,False,-6.273,214493.0,0
90,57,0,False,False,-8.323,303333.0,1
73,42,0,False,False,-8.21,215093.0,0
86,24,0,False,False,-7.555,124000.0,0
86,33,0,False,False,-10.915,279106.0,0
81,42,0,False,False,-8.21,215093.0,0
87,43,0,False,False,-10.072,163200.0,0
92,32,0,False,False,-9.415,160666.0,0
100,20,0,False,False,-6.601,167506.0,0
76,45,0,False,False,-9.972,160880.0,1
92,4,0,False,False,-6.16,137013.0,0
90,27,0,False,False,-16.501875,207333.0,0
71,1,0,False,False,-5.834,145480.0,0
35,61,1,False,False,-5.264,234347.0,0
66,42,0,False,False,-8.21,215093.0,0
93,42,0,False,False,-8.21,215093.0,0
99,41,0,False,False,-4.105,205373.0,0
71,45,0,False,False,-9.25,334340.125,0
74,16,0,False,False,-7.935,228506.0,0
88,45,0,False,False,-2.901,174000.0,0
41,65,0,False,False,-11.781,177733.0,1
88,42,0,False,False,-8.21,215093.0,0
100,42,0,False,False,-8.21,215093.0,0
66,11,0,False,False,-6.188,144360.0,0
96,47,0,False,True,-15.015,133333.0,0
99,61,0,True,False,-4.964,270120.0,0
53,42,0,True,False,-8.21,215093.0,0
53,36,0,False,False,-3.904,203346.0,0
98,57,0,False,False,-4.066,196899.0,0
51,45,0,False,False,-3.8,190560.0,0
87,42,0,False,False,-8.21,215093.0,0
95,42,0,False,False,-8.21,215093.0,0
75,0,0,False,False,-12.654,306856.0,1
66,46,0,False,False,-10.105,200400.0,1
89,42,0,False,False,-8.21,215093.0,0
73,10,0,False,False,-12.434,180066.0,0
83,18,0,False,True,-10.839,210733.0,0
70,44,0,False,False,-5.593,227080.0,0
87,46,0,False,False,-8.672,334340.125,0
85,65,1,False,False,-5.204,189333.0,1
70,29,0,False,False,-9.936,138200.0,0
100,42,0,False,False,-8.21,215093.0,0
98,63,1,False,False,-4.933,198907.0,0
77,30,0,False,True,-6.346,334340.125,0
61,59,0,False,False,-3.642,188613.0,0
67,56,0,False,False,-2.582,200346.0,0
77,42,0,False,False,-8.21,215093.0,0
80,24,0,False,False,-8.354,152221.0,0
83,66,0,False,True,-10.156,203373.0,1
60,73,0,False,False,-9.838,334340.125,0
88,61,0,False,False,-14.211,230506.0,0
94,22,0,False,False,-15.358,334340.125,0
63,24,0,False,False,-7.075,309720.0,0
98,42,0,False,False,-8.21,215093.0,0
22,2,0,False,False,-7.343,334340.125,0
72,64,0,True,False,-2.497,270733.0,0
87,50,0,False,False,-10.122,150373.0,0
100,52,0,True,False,-6.714,250773.0,0
77,78,1,False,False,-4.713,158332.0,0
93,15,0,False,False,-8.805,334340.125,0
71,16,0,False,False,-6.415,130853.0,0
80,25,0,False,False,-6.644,200360.0,0
93,51,0,False,False,-12.277,201746.0,0
98,28,0,False,False,-12.599,211186.0,0
94,34,0,False,False,-8.886,131293.0,0
89,28,0,False,False,-10.99,215893.0,0
84,42,0,False,False,-8.21,215093.0,0
84,42,0,False,False,-8.21,215093.0,1
84,70,0,True,False,-3.545,176382.0,0
96,68,0,False,False,-4.146,222826.0,0
73,65,0,False,False,-5.46,232066.0,0
83,67,1,False,False,-12.76,334340.125,1
71,42,0,False,False,-8.21,215093.0,1
79,42,0,False,False,-8.21,215093.0,0
28,57,0,False,False,-10.535,244666.0,1
86,90,1,False,False,-4.803,270741.0,0
98,42,0,False,False,-16.501875,151173.0,0
93,59,0,False,False,-5.588,216000.0,0
35,91,1,False,False,-3.675,207133.0,1
42,72,0,False,False,-5.407,278746.0,0
82,67,0,False,False,-5.693,193146.0,0
94,64,1,False,False,-2.793,235547.0,0
95,13,0,False,False,-9.724,161266.0,0
43,49,0,False,False,-7.282,323613.0,1
55,74,1,False,False,-3.887,263787.0,0
96,58,0,False,False,-8.393,290640.0,0
67,74,1,False,False,-4.217,235053.0,0
53,32,0,False,False,-7.245,226760.0,1
37,64,0,False,False,-6.568,314280.0,0
95,30,0,False,False,-12.332,173320.0,0
78,10,0,False,False,-4.01,200773.0,0
75,83,1,False,False,-16.501875,295893.0,1
89,66,0,False,False,-3.59,238626.0,0
69,42,0,False,False,-8.21,215093.0,0
98,42,0,False,False,-8.21,215093.0,0
86,17,0,False,False,-7.138,146106.0,0
75,47,1,True,False,-3.661,288333.0,0
85,42,0,False,False,-8.21,215093.0,0
67,28,0,False,False,-4.605,267160.0,0
78,65,0,False,True,-4.316,213493.0,0
88,52,0,False,False,-16.501875,259533.0,0
59,63,0,False,False,-13.132,244360.0,1
84,17,0,False,False,-10.054,190346.0,0
41,66,0,True,False,-13.072,289560.0,0
77,77,0,False,False,-6.099,334340.125,0
84,42,0,False,False,-8.21,215093.0,0
99,42,0,False,False,-8.21,215093.0,0
88,54,0,False,False,-3.997,206866.0,0
75,21,1,False,False,-11.662,170733.0,0
93,63,0,False,False,-16.501875,143693.0,0
98,12,0,False,False,-7.231,158160.0,0
92,82,0,True,False,-8.045,167915.0,0
98,53,0,False,False,-4.796,214560.0,0
87,43,0,False,False,-13.216,279760.0,0
62,44,0,False,False,-4.978,300960.0,0
99,42,0,False,False,-8.21,215093.0,0
95,26,0,False,False,-13.692,276066.0,0
86,36,0,False,True,-16.202,157293.0,0
73,39,0,False,False,-7.12,210466.0,0
87,30,0,False,False,-16.165,127173.0,0
77,67,0,False,False,-13.45,278040.0,1
85,47,0,False,False,-7.774,234373.0,1
75,47,0,False,False,-5.865,245862.0,1
93,42,0,False,False,-8.21,215093.0,0
86,23,0,False,False,-9.798,241440.0,0
59,84,0,False,False,-5.851,185486.0,0
75,74,0,False,False,-8.746,223293.0,0
87,17,0,False,False,-15.306,219673.0,1
89,40,0,False,False,-6.742,235933.0,0
90,28,0,False,False,-6.046,198786.0,0
33,68,1,True,False,-4.421,312240.0,0
15,67,1,False,False,-8.942,301200.0,1
72,68,0,False,False,-5.035,231666.0,1
80,30,0,False,False,-3.795,236173.0,0
80,34,0,False,False,-4.355,197693.0,0
67,75,0,False,False,-6.901,206360.0,1
54,63,0,False,False,-5.612,333720.0,1
80,51,1,False,False,-8.572,253960.0,0
